"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","pid","gunKey","nogunKey","leftObj","rightObj","stimulus","correct","constrast","objType","faceId","objId"
"1364","32","text","0","1367","0.0-0.0","9","e","i","GUN","NO GUN","","","","","",""
"","","sequential-priming","1","5380","0.0-1.0","9","e","i","GUN","NO GUN","[""<div id=\""jspsych-countdown-numbers\"">3</div>"",""<div id=\""jspsych-countdown-numbers\"">2</div>"",""<div id=\""jspsych-countdown-numbers\"">1</div>""]","","","","",""
"503","73","sequential-priming","2","7986","0.0-2.0-0.0","9","e","i","GUN","NO GUN","[""MaskReal.png"",""./LoCon/WM-258-125-N.png"",""./GrayGuns/gun_1.png"",""MaskReal.png""]","false","low","gun","WM-258-125-N.png","gun_1.png"
"457","73","sequential-priming","3","10592","0.0-2.0-1.0","9","e","i","GUN","NO GUN","[""MaskReal.png"",""./LoCon/WM-249-239-N.png"",""./GrayNonguns/cell_5.png"",""MaskReal.png""]","true","low","nogun","WM-249-239-N.png","cell_5.png"
"435","73","sequential-priming","4","13199","0.0-2.0-2.0","9","e","i","GUN","NO GUN","[""MaskReal.png"",""./LoCon/WM-032-001-N.png"",""./GrayNonguns/wallet_8.png"",""MaskReal.png""]","true","low","nogun","WM-032-001-N.png","wallet_8.png"
"405","69","sequential-priming","5","15808","0.0-2.0-3.0","9","e","i","GUN","NO GUN","[""MaskReal.png"",""./HiCon/WM-035-032-N.png"",""./GrayGuns/gun_7.png"",""MaskReal.png""]","true","high","gun","WM-035-032-N.png","gun_7.png"
"420","69","sequential-priming","6","18416","0.0-2.0-4.0","9","e","i","GUN","NO GUN","[""MaskReal.png"",""./HiCon/WM-001-0140-N.png"",""./GrayGuns/gun_15.png"",""MaskReal.png""]","true","high","gun","WM-001-0140-N.png","gun_15.png"
"","","sequential-priming","7","21322","0.0-2.0-5.0","9","e","i","GUN","NO GUN","[""MaskReal.png"",""./LoCon/WM-250-157-N.png"",""./GrayGuns/gun_13.png"",""MaskReal.png""]","","low","gun","WM-250-157-N.png","gun_13.png"
"1793","73","sequential-priming","8","24229","0.0-2.0-6.0","9","e","i","GUN","NO GUN","[""MaskReal.png"",""./LoCon/WM-252-224-N.png"",""./GrayGuns/gun_19.png"",""MaskReal.png""]","false","low","gun","WM-252-224-N.png","gun_19.png"
"","","sequential-priming","9","27136","0.0-2.0-7.0","9","e","i","GUN","NO GUN","[""MaskReal.png"",""./LoCon/WM-004-010-N.png"",""./GrayNonguns/tool_3.png"",""MaskReal.png""]","","low","nogun","WM-004-010-N.png","tool_3.png"
"","","sequential-priming","10","30044","0.0-2.0-8.0","9","e","i","GUN","NO GUN","[""MaskReal.png"",""./HiCon/WM-012-001-N.png"",""./GrayGuns/gun_20.png"",""MaskReal.png""]","","high","gun","WM-012-001-N.png","gun_20.png"
"","","sequential-priming","11","32952","0.0-2.0-9.0","9","e","i","GUN","NO GUN","[""MaskReal.png"",""./HiCon/WM-243-107-N.png"",""./GrayNonguns/keys_5.png"",""MaskReal.png""]","","high","nogun","WM-243-107-N.png","keys_5.png"
"","","sequential-priming","12","35859","0.0-2.0-10.0","9","e","i","GUN","NO GUN","[""MaskReal.png"",""./LoCon/WM-033-025-N.png"",""./GrayNonguns/cell_2.png"",""MaskReal.png""]","","low","nogun","WM-033-025-N.png","cell_2.png"
"","","sequential-priming","13","38766","0.0-2.0-11.0","9","e","i","GUN","NO GUN","[""MaskReal.png"",""./LoCon/WM-011-002-N.png"",""./GrayNonguns/cell_3.png"",""MaskReal.png""]","","low","nogun","WM-011-002-N.png","cell_3.png"
"","","sequential-priming","14","41675","0.0-2.0-12.0","9","e","i","GUN","NO GUN","[""MaskReal.png"",""./LoCon/WM-253-119-N.png"",""./GrayNonguns/keys_4.png"",""MaskReal.png""]","","low","nogun","WM-253-119-N.png","keys_4.png"
"","","sequential-priming","15","44582","0.0-2.0-13.0","9","e","i","GUN","NO GUN","[""MaskReal.png"",""./HiCon/WM-040-022-N.png"",""./GrayNonguns/tool_7.png"",""MaskReal.png""]","","high","nogun","WM-040-022-N.png","tool_7.png"
"","","sequential-priming","16","47493","0.0-2.0-14.0","9","e","i","GUN","NO GUN","[""MaskReal.png"",""./LoCon/WM-012-001-N.png"",""./GrayNonguns/keys_7.png"",""MaskReal.png""]","","low","nogun","WM-012-001-N.png","keys_7.png"
"","","sequential-priming","17","50402","0.0-2.0-15.0","9","e","i","GUN","NO GUN","[""MaskReal.png"",""./LoCon/WM-002-009-N.png"",""./GrayNonguns/wallet_1.png"",""MaskReal.png""]","","low","nogun","WM-002-009-N.png","wallet_1.png"
"","","sequential-priming","18","53309","0.0-2.0-16.0","9","e","i","GUN","NO GUN","[""MaskReal.png"",""./HiCon/WM-253-119-N.png"",""./GrayGuns/gun_5.png"",""MaskReal.png""]","","high","gun","WM-253-119-N.png","gun_5.png"
