"rt","key_press","trial_type","trial_index","time_elapsed","internal_node_id","pid","seed","gun_key","nogun_key","left_obj","right_obj","stimulus","rt_from_start","correct","constrast","obj_type","face_id","obj_id"
"6788","32","text","0","6791","0.0-0.0","-1","1492035174492","i","e","NO GUN","GUN","","","","","","",""
"4214","32","text","1","12007","0.0-1.0","-1","1492035174492","i","e","NO GUN","GUN","","","","","","",""
"","","sequential-priming","2","16026","0.0-2.0","-1","1492035174492","i","e","NO GUN","GUN","[""<div id=\""jspsych-countdown-numbers\"">3</div>"",""<div id=\""jspsych-countdown-numbers\"">2</div>"",""<div id=\""jspsych-countdown-numbers\"">1</div>""]","","","","","",""
"506","69","sequential-priming","3","18940","0.0-3.0-0.0","-1","1492035174492","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-251-002-N.png"",""./GrayNonguns/cell_7.png"",""MaskReal.png""]","906","true","low","nogun","SHINEd_Lo_WM-251-002-N.png","cell_7.png"
"447","73","sequential-priming","4","21794","0.0-3.0-1.0","-1","1492035174492","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-208-068-N.png"",""./GrayGuns/gun_16.png"",""MaskReal.png""]","847","true","high","gun","SHINEd_Hi_WM-208-068-N.png","gun_16.png"
"525","69","sequential-priming","5","24727","0.0-3.0-2.0","-1","1492035174492","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-250-157-N.png"",""./GrayNonguns/keys_4.png"",""MaskReal.png""]","925","true","low","nogun","SHINEd_Lo_WM-250-157-N.png","keys_4.png"
"517","69","sequential-priming","6","27650","0.0-3.0-3.0","-1","1492035174492","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-242-011-N.png"",""./GrayNonguns/cell_1.png"",""MaskReal.png""]","917","true","low","nogun","SHINEd_Lo_WM-242-011-N.png","cell_1.png"
"402","73","sequential-priming","7","30458","0.0-3.0-4.0","-1","1492035174492","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-014-002-N*.png"",""./GrayGuns/gun_1.png"",""MaskReal.png""]","802","true","high","gun","SHINEd_Hi_WM-014-002-N*.png","gun_1.png"
"457","69","sequential-priming","8","33323","0.0-3.0-5.0","-1","1492035174492","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-034-030-N.png"",""./GrayGuns/gun_7.png"",""MaskReal.png""]","857","false","low","gun","SHINEd_Lo_WM-034-030-N.png","gun_7.png"
"312","69","sequential-priming","9","36042","0.0-3.0-6.0","-1","1492035174492","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-212-097-N.png"",""./GrayNonguns/tool_7.png"",""MaskReal.png""]","712","true","low","nogun","SHINEd_Lo_WM-212-097-N.png","tool_7.png"
"337","69","sequential-priming","10","38788","0.0-3.0-7.0","-1","1492035174492","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-036-031-N.png"",""./GrayGuns/gun_13.png"",""MaskReal.png""]","737","false","high","gun","SHINEd_Hi_WM-036-031-N.png","gun_13.png"
"383","69","sequential-priming","11","41577","0.0-3.0-8.0","-1","1492035174492","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-019-003-N.png"",""./GrayNonguns/keys_4.png"",""MaskReal.png""]","783","true","high","nogun","SHINEd_Hi_WM-019-003-N.png","keys_4.png"
"609","69","sequential-priming","12","44593","0.0-3.0-9.0","-1","1492035174492","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-207-048-N.png"",""./GrayNonguns/tool_3.png"",""MaskReal.png""]","1009","true","high","nogun","SHINEd_Hi_WM-207-048-N.png","tool_3.png"
"426","69","sequential-priming","13","47424","0.0-3.0-10.0","-1","1492035174492","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-029-023-N.png"",""./GrayGuns/gun_14.png"",""MaskReal.png""]","826","false","low","gun","SHINEd_Lo_WM-029-023-N.png","gun_14.png"
"511","69","sequential-priming","14","50340","0.0-3.0-11.0","-1","1492035174492","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-006-002-N.png"",""./GrayNonguns/cell_5.png"",""MaskReal.png""]","911","true","low","nogun","SHINEd_Lo_WM-006-002-N.png","cell_5.png"
"423","73","sequential-priming","15","53172","0.0-3.0-12.0","-1","1492035174492","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-013-001-N.png"",""./GrayGuns/gun_20.png"",""MaskReal.png""]","823","true","low","gun","SHINEd_Lo_WM-013-001-N.png","gun_20.png"
"638","69","sequential-priming","16","56221","0.0-3.0-13.0","-1","1492035174492","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-031-003-N.png"",""./GrayNonguns/keys_6.png"",""MaskReal.png""]","1038","true","high","nogun","SHINEd_Hi_WM-031-003-N.png","keys_6.png"
"733","69","sequential-priming","17","59362","0.0-3.0-14.0","-1","1492035174492","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-218-074-N.png"",""./GrayNonguns/wallet_3.png"",""MaskReal.png""]","1133","true","high","nogun","SHINEd_Hi_WM-218-074-N.png","wallet_3.png"
"442","73","sequential-priming","18","62219","0.0-3.0-15.0","-1","1492035174492","i","e","NO GUN","GUN","[""MaskReal.png"",""./LoCon/SHINEd_Lo_WM-026-001-N.png"",""./GrayGuns/gun_16.png"",""MaskReal.png""]","842","true","low","gun","SHINEd_Lo_WM-026-001-N.png","gun_16.png"
"896","73","sequential-priming","19","65522","0.0-3.0-16.0","-1","1492035174492","i","e","NO GUN","GUN","[""MaskReal.png"",""./HiCon/SHINEd_Hi_WM-232-070-N.png"",""./GrayNonguns/cell_8.png"",""MaskReal.png""]","1296","false","high","nogun","SHINEd_Hi_WM-232-070-N.png","cell_8.png"
